Subset size, Accuracy, F1-Score, VIF, Solution
2, -0.30700000000000005, -0.202717185799069, 0.3882282615657223, V2; V7
3, -0.45566666666666666, -0.3620745113675454, 0.5342247210336065, V1; V2; V4
3, -0.39016666666666666, -0.30240911891685884, 0.48635684680863145, V2; V3; V7
4, -0.5996666666666666, -0.5405633119890086, 0.9231129662911004, V1; V3; V4; V5
4, -0.5728333333333333, -0.5268603711390087, 0.8603734894963034, V1; V2; V4; V5
4, -0.5205, -0.4452924962034869, 0.6170952026914356, V1; V2; V3; V4
4, -0.4503333333333333, -0.39230736901557334, 0.6043841101442115, V2; V3; V4; V7
5, -0.5153333333333332, -0.46844882070114274, 0.7644335803893438, V1; V2; V3; V4; V7
