Subset size, Accuracy, F1-Score, VIF, Solution
1, -0.9427777777777777, -0.8732437344065251, 0, att19
2, -0.9649999999999999, -0.9439175156761805, 1.541273555964449, att19; att33
2, -0.9555555555555555, -0.8884011436450461, 1.3897214080322802, att19; att21
2, -0.9472222222222223, -0.8904496618572505, 1.3806940076449368, att19; att32
3, -0.9727777777777777, -0.9387375775345699, 7.812154104894568, att19; att33; att40
3, -0.9719444444444445, -0.9488249122275466, 2.6513201568992653, att19; att23; att33
3, -0.9691666666666666, -0.9436790173448095, 2.421744186193131, att19; att21; att33
3, -0.9683333333333334, -0.9381671539011854, 2.1774793861503206, att19; att30; att40
3, -0.9663888888888887, -0.9386389451802188, 2.3952752481643205, att19; att30; att33
3, -0.9652777777777779, -0.9298958759091993, 1.851842950390285, att19; att37; att40
3, -0.9630555555555554, -0.9464762932327192, 2.2394073346025056, att19; att33; att44
4, -0.9791666666666667, -0.954370036764969, 5.4044268756792615, att19; att29; att33; att45
4, -0.9766666666666666, -0.9396248024155002, 3.229590495809777, att6; att19; att23; att33
4, -0.9758333333333333, -0.9459558452613054, 5.396147366332507, att19; att23; att24; att33
4, -0.9755555555555555, -0.9455488518616211, 3.1760617348408227, att19; att28; att32; att33
4, -0.9636111111111111, -0.9514751289119143, 3.1991119148523772, att13; att16; att29; att33
5, -0.9794444444444445, -0.956415420978964, 6.2551031818627925, att11; att19; att24; att29; att33
5, -0.9777777777777779, -0.9461888372435234, 3.664685270791426, att5; att6; att19; att23; att33
5, -0.9775, -0.9576037031800235, 6.0301821351209375, att19; att24; att29; att33; att44
5, -0.9766666666666666, -0.9516709814343347, 4.94833805347266, att14; att19; att29; att33; att45
5, -0.975, -0.9553525775476993, 3.047877594258904, att13; att16; att29; att33; att37
