Subset size, Accuracy, F1-Score, VIF, Solution
1, -0.6989823353463386, -0.9551007551567988, 0, p_black
2, -0.7694162166381628, -0.9626266583928723, 1.2182993421425694, height; p_black
2, -0.741469091734851, -0.953209481007568, 1.2131767888823066, eccen; p_black
2, -0.6868826005142508, -0.9575878952455807, 1.0047201013373606, height; mean_tr
3, -0.7320653292363589, -0.9604966002829045, 1.0287085846636876, height; eccen; mean_tr
4, -0.8023264581278342, -0.9652758026425466, 1.2397238859723538, height; eccen; p_black; mean_tr
5, -0.8077620011543438, -0.96509822879589, 3.686105642235868, height; eccen; p_black; p_and; mean_tr
