Subset size, Accuracy, F1-Score, VIF, Solution
1, -0.9499999999999998, -0.9467836257309943, 0, col_4
2, -0.985, -0.9842105263157895, 43.57854157523912, col_4; col_5
2, -0.975, -0.9730994152046784, 41.23978565828755, col_3; col_5
2, -0.97, -0.968421052631579, 9.443781462163692, col_4; col_10
2, -0.9549999999999998, -0.952046783625731, 4.638640462037583, col_4; col_59
3, -1.0, -1.0, 31.37827620793219, col_4; col_5; col_52
3, -0.994, -0.9899749373433583, 25.44433640389529, col_4; col_10; col_11
3, -0.9899999999999999, -0.9894736842105264, 24.918562025247525, col_4; col_11; col_13
3, -0.974, -0.9683375104427736, 13.399264002433545, col_4; col_13; col_59
4, -1.0, -1.0, 20.829003402306107, col_4; col_10; col_11; col_59
4, -0.99, -0.9894736842105264, 13.832471698190366, col_4; col_11; col_52; col_58
4, -0.975, -0.9736842105263157, 13.41118794197078, col_4; col_11; col_35; col_52
5, -0.9949999999999999, -0.9947368421052631, 17.57539187748771, col_4; col_11; col_35; col_52; col_58
