Subset size, Accuracy, F1-Score, VIF, Solution
2, -0.6918069664278026, -0.7102625772860185, 0.7398373983739837, V15; V35
2, -0.602156862745098, -0.6437924580199559, 0.5568624683956455, V21; V35
3, -0.8859259259259258, -0.9145563915786912, 1.0, V33; V34; V35
3, -0.6689824300171572, -0.7191119403418413, 0.3752087681133643, V21; V22; V35
3, -0.602156862745098, -0.6437924580199559, 0.37154707841018925, V1; V21; V35
4, -0.8335934612710683, -0.7314696982240994, 0.5645385395289735, V22; V27; V33; V34
4, -0.780324124781956, -0.6208656496139904, 0.5529553259360513, V1; V27; V33; V34
4, -0.6765876463009823, -0.543420345068337, 0.3304716300870525, V9; V17; V27; V33
5, -0.8640746755744679, -0.783558125153747, 0.49133111895731874, V9; V17; V27; V33; V34
5, -0.7016694820341048, -0.6791847088563423, 0.28842188377296074, V16; V17; V21; V27; V35
5, -0.6530061171191208, -0.4210030904997802, 0.036335174201529166, V8; V17; V21; V22; V27
6, -0.9429025891094858, -0.9346391165835193, 0.7603748326639893, V26; V30; V31; V33; V34; V35
7, -0.9429025891094858, -0.9346391165835193, 0.7045366667567523, V1; V26; V30; V31; V33; V34; V35
8, -0.9217975629442187, -0.9295918639572509, 0.5427401994596756, V4; V8; V11; V17; V26; V30; V33; V35
8, -0.7790738432657835, -0.7213529473049544, 0.19888732249868654, V1; V9; V16; V17; V19; V22; V27; V35
9, -0.8967586822385327, -0.8337501676728412, 0.40917417796214867, V1; V5; V11; V13; V16; V22; V27; V33; V34
9, -0.8763189714623035, -0.8171895607172569, 0.3903090261509652, V1; V5; V9; V16; V17; V22; V27; V33; V34
9, -0.7830703517658233, -0.7158276986921064, 0.17878463202065056, V1; V5; V9; V16; V17; V19; V22; V27; V35
10, -0.8850632065006805, -0.8736906383465769, 0.4180591244951419, V8; V9; V16; V17; V19; V22; V27; V30; V33; V34
11, -0.9662407903994943, -0.9730138966884503, inf, V3; V4; V5; V6; V11; V17; V26; V30; V33; V34; V35
11, -0.9644201746029747, -0.9710617234326786, 5.906051436232276, V3; V8; V9; V11; V17; V18; V26; V30; V33; V34; V35
11, -0.9635098667047151, -0.9724970932048456, 0.4932819897560518, V1; V16; V17; V19; V21; V22; V27; V30; V33; V34; V35
12, -0.9637106699175666, -0.9719924293152216, 5.571100934927766, V6; V8; V9; V11; V17; V18; V25; V26; V30; V33; V34; V35
12, -0.9182604888379713, -0.8872025488490223, 0.4395716131157315, V6; V8; V9; V11; V16; V17; V22; V23; V28; V30; V33; V34
13, -0.9665486886591997, -0.970888297940505, inf, V3; V4; V5; V6; V11; V17; V22; V26; V29; V30; V33; V34; V35
13, -0.8837073127060663, -0.9007393996846824, 0.4337062570372402, V6; V8; V9; V11; V16; V17; V20; V22; V23; V31; V33; V34; V35
14, -0.9064793202765781, -0.8470279338781872, 0.29189827656837747, V1; V4; V6; V9; V11; V13; V16; V17; V19; V21; V22; V27; V33; V34
14, -0.8623685406901028, -0.8695992522076258, 0.35774279548827564, V1; V4; V6; V9; V11; V13; V16; V17; V19; V21; V22; V30; V33; V34
14, -0.7840349296462594, -0.6885985722917674, 0.13067613766169048, V1; V4; V6; V9; V11; V13; V16; V17; V19; V21; V22; V23; V27; V35
16, -0.9002227789597959, -0.896940299235097, 0.3748004584895698, V1; V4; V6; V11; V13; V16; V17; V19; V20; V21; V22; V23; V27; V33; V34; V35
