Subset size, Accuracy, F1-Score, VIF, Solution
1, -0.3015204678362573, -0.2827332681320942, 0, V10
2, -0.3529239766081871, -0.3510728823150533, 1.5851088488894869, V3; V10
2, -0.3272222222222222, -0.28490331737302366, 1.0226085182865323, V7; V11
2, -0.30374269005847954, -0.29295103228009095, 1.445017531964123, V4; V10
3, -0.3828947368421053, -0.37240585447864766, 3.1977476847544044, V5; V10; V11
3, -0.3728362573099415, -0.33637912888846677, 1.427708524651431, V5; V7; V11
3, -0.37096491228070166, -0.38068500334353994, 1.3215678112749794, V5; V7; V10
4, -0.3807602339181287, -0.37888129414445204, 7.847044709495714, V1; V3; V5; V10
4, -0.3717251461988304, -0.3606072847550784, 2.6771239518609837, V5; V7; V10; V11
5, -0.37450292397660817, -0.35254487973441906, 2.4549332084684807, V5; V7; V9; V10; V11
